# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:31:22
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM2 Pyrope[0][all]['MMM2 Pyrope[0][4].msa']
# Fit warnings
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.00410 ± 0.00055' is more than 3σ negative.
# Quantification results
MMM2 Pyrope[3][all],Ca,20,40.078,0.03087,0.00005,0.03054,0.00082,0.01642,0.00059
MMM2 Pyrope[3][all],Ti,22,47.867,0.00316,0.00004,0.00313,0.00009,0.00141,0.00005
MMM2 Pyrope[3][all],Cr,24,51.9961,0.00814,0.00005,0.00805,0.00022,0.00334,0.00012
MMM2 Pyrope[3][all],Mn,25,54.938043,0.00256,0.00006,0.00253,0.00009,0.00099,0.00004
MMM2 Pyrope[3][all],Fe,26,55.845,0.07447,0.00011,0.07366,0.00198,0.02842,0.00103
# Notes
#   Analytical total: 1.011 ± 0.027
#   Duane-Hunt: 15.13 keV
#   Residual written to MMM2 Pyrope[3][4][residual].msa.
#   Plot output to 'MMM2 Pyrope[3][4][quantify].pdf'
# Spectrum
#   MMM2 Pyrope[4][all]['MMM2 Pyrope[4][4].msa']
# Fit warnings
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.00197 ± 0.00054' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Pyrope[4][all],O,8,15.999,0.43435,0.02654,0.43502,0.01502,0.58740,0.01481
MMM2 Pyrope[4][all],Mg,12,24.305,0.12284,0.00018,0.12303,0.00327,0.10936,0.00393
MMM2 Pyrope[4][all],Al,13,26.9815384,0.11846,0.00032,0.11864,0.00317,0.09499,0.00342
MMM2 Pyrope[4][all],Si,14,28.085,0.20356,0.00043,0.20387,0.00543,0.15682,0.00564
MMM2 Pyrope[4][all],Ca,20,40.078,0.03118,0.00005,0.03122,0.00083,0.01683,0.00060
MMM2 Pyrope[4][all],Ti,22,47.867,0.00338,0.00004,0.00339,0.00010,0.00153,0.00006
