# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 13:21:51.121966100 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#
# Spectrum
#	CC Chuck's Circular Apatite[0][all]['CC Chuck's Circular Apatite[0][4].msa']
#
# Fit Warnings
#	The k-ratio '[Cl L₁-M₃ + 1 other] = -0.473 ± 0.013' is more than 3σ negative.
#	The k-ratio '[Cu L₃-M₅ + 13 others] = -0.000843 ± 0.000046' is more than 3σ negative.
#
#
#	CC Chuck's Circular Apatite[3][all]['CC Chuck's Circular Apatite[3][4].msa']
#
# Fit Warnings
#	The k-ratio '[Cl L₁-M₃ + 1 other] = -0.442 ± 0.013' is more than 3σ negative.
#	The k-ratio '[Cu L₃-M₅ + 13 others] = -0.000980 ± 0.000046' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
CC Chuck's Circular Apatite[3][all],O,8,15.999,0.36046,0.04000,0.35798,0.02552,0.54724,0.02754
CC Chuck's Circular Apatite[3][all],F,9,18.998403163,0.03997,0.00209,0.03970,0.00254,0.05111,0.00401
CC Chuck's Circular Apatite[3][all],Si,14,28.085,0.00249,0.00002,0.00247,0.00010,0.00215,0.00013
CC Chuck's Circular Apatite[3][all],P,15,30.973761998,0.18582,0.00036,0.18455,0.00735,0.14572,0.00886
CC Chuck's Circular Apatite[3][all],S,16,32.06,0.00263,0.00004,0.00261,0.00011,0.00199,0.00012
CC Chuck's Circular Apatite[3][all],Cl,17,35.45,0.00529,0.00003,0.00525,0.00021,0.00362,0.00022
CC Chuck's Circular Apatite[3][all],Ca,20,40.078,0.40855,0.00032,0.40574,0.01614,0.24761,0.01505
CC Chuck's Circular Apatite[3][all],Cu,29,63.54599999999999,0.00011,0.00004,0.00011,0.00004,0.00004,0.00002
CC Chuck's Circular Apatite[3][all],Zn,30,65.38,0.00000,0.00004,0.00000,0.00004,0.00000,0.00001
CC Chuck's Circular Apatite[3][all],As,33,74.921595,0.00160,0.00008,0.00159,0.00010,0.00052,0.00004
# Notes
#	Analytical total: 1.007 ± 0.040
#	Residual written to CC Chuck's Circular Apatite[3][4][residual].msa.
#
# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 13:21:54.396307800 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#
# Spectrum
#	CC Chuck's Circular Apatite[4][all]['CC Chuck's Circular Apatite[4][4].msa']
#
# Fit Warnings
#	The k-ratio '[Cl L₁-M₃ + 1 other] = -0.493 ± 0.013' is more than 3σ negative.
#	The k-ratio '[Cu L₃-M₅ + 13 others] = -0.000920 ± 0.000046' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
CC Chuck's Circular Apatite[4][all],O,8,15.999,0.36015,0.03998,0.35754,0.02551,0.54647,0.02756
CC Chuck's Circular Apatite[4][all],F,9,18.998403163,0.04082,0.00214,0.04053,0.00260,0.05217,0.00409
CC Chuck's Circular Apatite[4][all],Si,14,28.085,0.00245,0.00002,0.00243,0.00010,0.00212,0.00013
CC Chuck's Circular Apatite[4][all],P,15,30.973761998,0.18610,0.00036,0.18476,0.00735,0.14586,0.00886
CC Chuck's Circular Apatite[4][all],S,16,32.06,0.00240,0.00004,0.00239,0.00010,0.00182,0.00011
CC Chuck's Circular Apatite[4][all],Cl,17,35.45,0.00531,0.00003,0.00528,0.00021,0.00364,0.00022
CC Chuck's Circular Apatite[4][all],Ca,20,40.078,0.40844,0.00032,0.40548,0.01612,0.24740,0.01503
CC Chuck's Circular Apatite[4][all],Cu,29,63.54599999999999,0.00014,0.00004,0.00014,0.00004,0.00005,0.00002
CC Chuck's Circular Apatite[4][all],Zn,30,65.38,0.00000,0.00004,0.00000,0.00004,0.00000,0.00001
CC Chuck's Circular Apatite[4][all],As,33,74.921595,0.00147,0.00008,0.00146,0.00010,0.00048,0.00004
# Notes
#	Analytical total: 1.007 ± 0.040
#	Residual written to CC Chuck's Circular Apatite[4][4][residual].msa.
#
# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 13:21:55.213152 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
