# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:31
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#   Unable to read the spectrum file 'SPI MM1 Jadeite[0][4].msa': IO error:
#   No such file or directory (os error 2)
# Spectrum
#   SPI MM1dup Jadeite[1][all]['SPI MM1 Jadeite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Jadeite[5][all],O,8,15.999,0.46452,0.03825,0.46724,0.02051,0.59307,0.01988
SPI MM1dup Jadeite[5][all],Na,11,22.98976928,0.11300,0.00074,0.11366,0.00442,0.10040,0.00494
SPI MM1dup Jadeite[5][all],Mg,12,24.305,0.00000,0.00001,0.00000,0.00001,0.00000,0.00001
SPI MM1dup Jadeite[5][all],Al,13,26.9815384,0.13215,0.00052,0.13292,0.00514,0.10004,0.00490
SPI MM1dup Jadeite[5][all],Si,14,28.085,0.28301,0.00089,0.28467,0.01098,0.20584,0.01007
SPI MM1dup Jadeite[5][all],Ca,20,40.078,0.00072,0.00002,0.00073,0.00004,0.00037,0.00002
SPI MM1dup Jadeite[5][all],Fe,26,55.845,0.00079,0.00003,0.00079,0.00004,0.00029,0.00002
# Notes
#   Analytical total: 0.994 ± 0.038
#   Duane-Hunt: 20.16 keV
#   Residual written to SPI MM1 Jadeite[5][4][residual].msa.
#   Plot output to 'SPI MM1 Jadeite[5][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Jadeite[6][all]['SPI MM1 Jadeite[6][4].msa']
# Fit warnings
#   Removing Mg from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Fe L₃-M₅ + 13 others] = -0.00100 ± 0.00013' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Jadeite[6][all],O,8,15.999,0.46361,0.03812,0.46697,0.02047,0.59269,0.01986
SPI MM1dup Jadeite[6][all],Na,11,22.98976928,0.11323,0.00074,0.11405,0.00443,0.10074,0.00494
SPI MM1dup Jadeite[6][all],Mg,12,24.305,0.00000,0.00001,0.00000,0.00001,0.00000,0.00001
