# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 15:06:03.155157500 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#	The Duane-Hunt (19.63 keV) for KBr std differs by more than 1 % from the beam energy (20.00 keV)!!
#
# Spectrum
#	SPI MM1dup Kaersutite[0][all]['SPI MM1 Kaersutite[0][4].msa']
#
# Fit Warnings
#	Removing F from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01871 ± 0.00042' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1dup Kaersutite[3][all],F,9,18.998403163,0.00000,0.00004,0.00000,0.00004,0.00000,0.00004
SPI MM1dup Kaersutite[3][all],Na,11,22.98976928,0.01928,0.00008,0.01930,0.00081,0.01887,0.00110
SPI MM1dup Kaersutite[3][all],Mg,12,24.305,0.07724,0.00036,0.07734,0.00323,0.07153,0.00418
SPI MM1dup Kaersutite[3][all],Al,13,26.9815384,0.06876,0.00026,0.06885,0.00287,0.05736,0.00335
SPI MM1dup Kaersutite[3][all],Si,14,28.085,0.18912,0.00052,0.18935,0.00787,0.15155,0.00885
SPI MM1dup Kaersutite[3][all],K,19,39.0983,0.00884,0.00003,0.00885,0.00037,0.00509,0.00030
SPI MM1dup Kaersutite[3][all],Ca,20,40.078,0.08717,0.00009,0.08727,0.00362,0.04895,0.00286
SPI MM1dup Kaersutite[3][all],Ti,22,47.867,0.03262,0.00005,0.03266,0.00136,0.01534,0.00089
SPI MM1dup Kaersutite[3][all],Mn,25,54.938043,0.00129,0.00003,0.00129,0.00006,0.00053,0.00003
SPI MM1dup Kaersutite[3][all],Fe,26,55.845,0.09256,0.00008,0.09268,0.00385,0.03730,0.00218
# Notes
#	Analytical total: 0.999 ± 0.041
#	Residual written to SPI MM1 Kaersutite[3][4][residual].msa.
#
# Spectrum
#	SPI MM1dup Kaersutite[4][all]['SPI MM1 Kaersutite[4][4].msa']
#
# Fit Warnings
#	Removing F from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01871 ± 0.00042' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1dup Kaersutite[4][all],O,8,15.999,0.41635,0.04087,0.41974,0.02391,0.59076,0.02373
SPI MM1dup Kaersutite[4][all],F,9,18.998403163,0.00000,0.00004,0.00000,0.00004,0.00000,0.00004
SPI MM1dup Kaersutite[4][all],Na,11,22.98976928,0.01878,0.00008,0.01893,0.00078,0.01854,0.00108
SPI MM1dup Kaersutite[4][all],Mg,12,24.305,0.07725,0.00036,0.07788,0.00323,0.07215,0.00420
SPI MM1dup Kaersutite[4][all],Al,13,26.9815384,0.06864,0.00025,0.06920,0.00286,0.05775,0.00336
SPI MM1dup Kaersutite[4][all],Si,14,28.085,0.18939,0.00052,0.19093,0.00788,0.15308,0.00888
SPI MM1dup Kaersutite[4][all],K,19,39.0983,0.00875,0.00003,0.00883,0.00036,0.00508,0.00030
SPI MM1dup Kaersutite[4][all],Ca,20,40.078,0.08704,0.00009,0.08775,0.00362,0.04930,0.00286
SPI MM1dup Kaersutite[4][all],Ti,22,47.867,0.03265,0.00005,0.03292,0.00136,0.01548,0.00090
SPI MM1dup Kaersutite[4][all],Mn,25,54.938043,0.00127,0.00003,0.00128,0.00006,0.00053,0.00003
SPI MM1dup Kaersutite[4][all],Fe,26,55.845,0.09181,0.00008,0.09255,0.00381,0.03732,0.00216
# Notes
#	Analytical total: 0.992 ± 0.041
#	Residual written to SPI MM1 Kaersutite[4][4][residual].msa.
#
# Spectrum
#	SPI MM1dup Kaersutite[5][all]['SPI MM1 Kaersutite[5][4].msa']
#
# Fit Warnings
#	Removing F from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01858 ± 0.00042' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1dup Kaersutite[5][all],O,8,15.999,0.42166,0.04137,0.42272,0.02395,0.59371,0.02367
SPI MM1dup Kaersutite[5][all],F,9,18.998403163,0.00000,0.00004,0.00000,0.00004,0.00000,0.00004
