# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:27:46
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM1 Andradite[0][all]['MMM1 Andradite[0][4].msa']
# Fit warnings
#   Removing Ti from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01765 ± 0.00045' is more than 3σ negative.
# Quantification results
MMM1 Andradite[3][all],Fe,26,55.845,0.18724,0.00016,0.18436,0.00661,0.08202,0.00457
# Notes
#   Analytical total: 1.016 ± 0.036
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Andradite[3][4][residual].msa.
#   Plot output to 'MMM1 Andradite[3][4][quantify].pdf'
# Spectrum
#   MMM1 Andradite[4][all]['MMM1 Andradite[4][4].msa']
# Fit warnings
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01486 ± 0.00045' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Andradite[4][all],O,8,15.999,0.39177,0.03641,0.38577,0.02202,0.59852,0.02233
MMM1 Andradite[4][all],Mg,12,24.305,0.00017,0.00003,0.00017,0.00003,0.00017,0.00003
MMM1 Andradite[4][all],Al,13,26.9815384,0.02920,0.00009,0.02875,0.00103,0.02645,0.00147
MMM1 Andradite[4][all],Si,14,28.085,0.17326,0.00035,0.17061,0.00612,0.15079,0.00839
MMM1 Andradite[4][all],Ca,20,40.078,0.23063,0.00014,0.22710,0.00814,0.14065,0.00782
MMM1 Andradite[4][all],Ti,22,47.867,0.00009,0.00004,0.00009,0.00004,0.00004,0.00002
MMM1 Andradite[4][all],Mn,25,54.938043,0.00383,0.00005,0.00378,0.00015,0.00171,0.00010
MMM1 Andradite[4][all],Fe,26,55.845,0.18659,0.00016,0.18373,0.00659,0.08167,0.00454
# Notes
#   Analytical total: 1.016 ± 0.036
#   Duane-Hunt: 15.19 keV
#   Residual written to MMM1 Andradite[4][4][residual].msa.
#   Plot output to 'MMM1 Andradite[4][4][quantify].pdf'
# Spectrum
#   MMM1 Andradite[5][all]['MMM1 Andradite[5][4].msa']
# Fit warnings
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01487 ± 0.00045' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Andradite[5][all],O,8,15.999,0.39075,0.03650,0.38353,0.02209,0.59769,0.02246
MMM1 Andradite[5][all],Mg,12,24.305,0.00021,0.00003,0.00020,0.00003,0.00021,0.00003
MMM1 Andradite[5][all],Al,13,26.9815384,0.02560,0.00008,0.02513,0.00090,0.02322,0.00130
MMM1 Andradite[5][all],Si,14,28.085,0.17288,0.00035,0.16968,0.00609,0.15064,0.00841
MMM1 Andradite[5][all],Ca,20,40.078,0.23230,0.00014,0.22801,0.00817,0.14185,0.00792
MMM1 Andradite[5][all],Ti,22,47.867,0.00009,0.00004,0.00009,0.00004,0.00005,0.00002
MMM1 Andradite[5][all],Mn,25,54.938043,0.00317,0.00005,0.00311,0.00012,0.00141,0.00008
MMM1 Andradite[5][all],Fe,26,55.845,0.19383,0.00017,0.19025,0.00682,0.08494,0.00474
# Notes
#   Analytical total: 1.019 ± 0.037
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Andradite[5][4][residual].msa.
#   Plot output to 'MMM1 Andradite[5][4][quantify].pdf'
# Spectrum
#   MMM1 Andradite[6][all]['MMM1 Andradite[6][4].msa']
# Fit warnings
#   Removing Ti from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01735 ± 0.00045' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
