# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 15:05:55.214804600 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	None
#
# Spectrum
#	SPI MM1 Andradite[0][all]['SPI MM1 Andradite[0][4].msa']
#
# Fit Warnings
#	Removing Ti from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.03616 ± 0.00045' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Andradite[4][all],Al,13,26.9815384,0.02682,0.00012,0.02679,0.00125,0.02481,0.00180
SPI MM1 Andradite[4][all],Si,14,28.085,0.15936,0.00047,0.15917,0.00738,0.14161,0.01024
SPI MM1 Andradite[4][all],Ca,20,40.078,0.26543,0.00018,0.26511,0.01227,0.16528,0.01195
SPI MM1 Andradite[4][all],Ti,22,47.867,0.00000,0.00002,0.00000,0.00002,0.00000,0.00001
SPI MM1 Andradite[4][all],Mn,25,54.938043,0.00305,0.00004,0.00304,0.00015,0.00138,0.00010
SPI MM1 Andradite[4][all],Fe,26,55.845,0.16665,0.00013,0.16645,0.00771,0.07447,0.00538
# Notes
#	Analytical total: 1.001 ± 0.046
#	Residual written to SPI MM1 Andradite[4][4][residual].msa.
#
# Spectrum
#	SPI MM1 Andradite[5][all]['SPI MM1 Andradite[5][4].msa']
#
# Fit Warnings
#	Removing Ti from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.03466 ± 0.00045' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Andradite[5][all],O,8,15.999,0.36933,0.04426,0.36710,0.02785,0.57963,0.02920
SPI MM1 Andradite[5][all],Mg,12,24.305,0.00025,0.00003,0.00025,0.00003,0.00026,0.00004
SPI MM1 Andradite[5][all],Al,13,26.9815384,0.02680,0.00012,0.02664,0.00118,0.02494,0.00174
SPI MM1 Andradite[5][all],Si,14,28.085,0.17240,0.00051,0.17136,0.00755,0.15413,0.01071
SPI MM1 Andradite[5][all],Ca,20,40.078,0.25105,0.00018,0.24954,0.01098,0.15728,0.01093
SPI MM1 Andradite[5][all],Ti,22,47.867,0.00000,0.00002,0.00000,0.00002,0.00000,0.00001
SPI MM1 Andradite[5][all],Mn,25,54.938043,0.00300,0.00004,0.00298,0.00014,0.00137,0.00010
SPI MM1 Andradite[5][all],Fe,26,55.845,0.18324,0.00013,0.18214,0.00801,0.08239,0.00572
# Notes
#	Analytical total: 1.006 ± 0.044
#	Residual written to SPI MM1 Andradite[5][4][residual].msa.
#
# Spectrum
#	SPI MM1 Andradite[6][all]['SPI MM1 Andradite[6][4].msa']
#
# Fit Warnings
#	Removing Ti from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.03192 ± 0.00045' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Andradite[6][all],O,8,15.999,0.36969,0.04433,0.36704,0.02786,0.58011,0.02921
SPI MM1 Andradite[6][all],Mg,12,24.305,0.00017,0.00003,0.00017,0.00003,0.00018,0.00004
SPI MM1 Andradite[6][all],Al,13,26.9815384,0.02571,0.00011,0.02553,0.00113,0.02393,0.00167
SPI MM1 Andradite[6][all],Si,14,28.085,0.17208,0.00051,0.17084,0.00753,0.15382,0.01071
SPI MM1 Andradite[6][all],Ca,20,40.078,0.25064,0.00018,0.24884,0.01095,0.15700,0.01092
SPI MM1 Andradite[6][all],Ti,22,47.867,0.00000,0.00002,0.00000,0.00002,0.00000,0.00001
SPI MM1 Andradite[6][all],Mn,25,54.938043,0.00294,0.00004,0.00292,0.00013,0.00134,0.00009
SPI MM1 Andradite[6][all],Fe,26,55.845,0.18600,0.00013,0.18466,0.00813,0.08362,0.00582
# Notes
#	Analytical total: 1.007 ± 0.044
#	Residual written to SPI MM1 Andradite[6][4][residual].msa.
#
# Spectrum
#	SPI MM1 Andradite[7][all]['SPI MM1 Andradite[7][4].msa']
#
# Fit Warnings
#	Removing Ti from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.03411 ± 0.00045' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
