Name,Formula,Mass Fractions,Comment
NIST K2649,0.069679*Li+0.48444*O+0.317877*Si+0.111045*Zr+0.01696*U,"O:0.48444, Si:0.31788, Zr:0.11105, Li:0.06968, U:0.01696",-
NIST K2654,0.358986*O+0.132307*Al+0.116866*Si+0.178673*Ca+0.213168*La,"O:0.35899, La:0.21317, Ca:0.17867, Al:0.13231, Si:0.11687",-
NIST K2678,0.382*O+0.072369*Mg+0.205685*Si+0.085763*Ca+0.029975*Ti+0.034972*Fe+0.096404*Zn+0.092832*Pb,"O:0.38200, Si:0.20569, Zn:0.09640, Pb:0.09283, Ca:0.08576, Mg:0.07237, Fe:0.03497, Ti:0.02998",-
NIST K2679,0.378817*O+0.072369*Mg+0.20101*Si+0.085763*Ca+0.029975*Ti+0.034972*Fe+0.007858*Ni+0.096404*Zn+0.092832*Pb,"O:0.37882, Si:0.20101, Zn:0.09640, Pb:0.09283, Ca:0.08576, Mg:0.07237, Fe:0.03497, Ti:0.02998, Ni:0.00786",-
NIST K268,0.027025*Be+0.013983*B+0.395039*O+0.166707*Al+0.03506*Si+0.25729*Ca+0.041457*Zr+0.033138*Ba+0.030302*Ta,"O:0.39504, Ca:0.25729, Al:0.16671, Zr:0.04146, Si:0.03506, Ba:0.03314, Ta:0.03030, Be:0.02703, B:0.01398",-
NIST K2730,0.083614*Li+0.055933*B+0.549184*O+0.037046*Al+0.257106*Si+0.008636*Eu+0.00848*U,"O:0.54918, Si:0.25711, Li:0.08361, B:0.05593, Al:0.03705, Eu:0.00864, U:0.00848",-
NIST K2754,0.195522*O+0.079886*Cu+0.292997*Sr+0.118116*Y+0.313478*Ba,"Ba:0.31348, Sr:0.29300, O:0.19552, Y:0.11812, Cu:0.07989",-
NIST K2757,0.253347*O+0.172962*Si+0.028761*Zn+0.350784*Cs+0.060455*Ba+0.133691*Eu,"Cs:0.35078, O:0.25335, Si:0.17296, Eu:0.13369, Ba:0.06046, Zn:0.02876",-
NIST K2774,0.083614*Li+0.055933*B+0.521657*O+0.252431*Si+0.086364*Eu,"O:0.52166, Si:0.25243, Eu:0.08636, Li:0.08361, B:0.05593",-
NIST K2789,0.018581*Li+0.271617*O+0.163613*Si+0.334194*Pb+0.211995*U,"Pb:0.33419, O:0.27162, U:0.21199, Si:0.16361, Li:0.01858",-
NIST K2791,0.023226*Li+0.234187*O+0.116866*Si+0.371326*Pb+0.254394*U,"Pb:0.37133, U:0.25439, O:0.23419, Si:0.11687, Li:0.02323",-
NIST K2933,0.042214*Li+0.395634*O+0.257106*Si+0.044781*Ba+0.260265*Gd,"O:0.39563, Gd:0.26027, Si:0.25711, Ba:0.04478, Li:0.04221",-
NIST K2950,0.362336*O+0.090461*Mg+0.233733*Si+0.31347*Ba,"O:0.36234, Ba:0.31347, Si:0.23373, Mg:0.09046",-
NIST K2963,0.001554*B+0.363119*O+0.090461*Mg+0.231395*Si+0.31347*Ba,"O:0.36312, Ba:0.31347, Si:0.23139, Mg:0.09046, B:0.00155",-
NIST K3,0.08826*Li+0.059041*B+0.540757*O+0.026461*Al+0.243082*Si+0.042399*U,"O:0.54076, Si:0.24308, Li:0.08826, B:0.05904, U:0.04240, Al:0.02646",-
NIST K309,0.387166*O+0.079384*Al+0.186986*Si+0.107204*Ca+0.104915*Fe+0.134344*Ba,"O:0.38717, Si:0.18699, Ba:0.13434, Ca:0.10720, Fe:0.10491, Al:0.07938",-
NIST K312,0.037114*Be+0.407936*O+0.17147*Al+0.06451*Si+0.212264*Ca+0.051081*Zr+0.02678*Sn+0.027845*Ta,"O:0.40794, Ca:0.21226, Al:0.17147, Si:0.06451, Zr:0.05108, Be:0.03711, Ta:0.02785, Sn:0.02678",-
NIST K3154,0.414208*O+0.085034*Mg+0.24168*Si+0.100772*Ca+0.109601*Fe+0.013881*Ge+0.016912*Sr+0.017913*Ba,"O:0.41421, Si:0.24168, Fe:0.10960, Ca:0.10077, Mg:0.08503, Ba:0.01791, Sr:0.01691, Ge:0.01388",-
NIST K3156,0.426981*O+0.0901*Mg+0.255143*Si+0.106775*Ca+0.116131*Fe+0.001388*Ge+0.001691*Sr+0.001791*Ba,"O:0.42698, Si:0.25514, Fe:0.11613, Ca:0.10677, Mg:0.09010, Ba:0.00179, Sr:0.00169, Ge:0.00139",-
NIST K3160,0.442001*O+0.072369*Mg+0.063507*Al+0.243082*Si+0.085763*Ca+0.093278*Fe,"O:0.44200, Si:0.24308, Fe:0.09328, Ca:0.08576, Mg:0.07237, Al:0.06351",-
NIST K3172,0.004645*Li+0.152263*B+0.422097*O+0.14475*Cu+0.067562*Y+0.208682*Ba,"O:0.42210, Ba:0.20868, B:0.15226, Cu:0.14475, Y:0.06756, Li:0.00464",-
NIST K3189,0.426699*O+0.0603036*Mg+0.0740951*Al+0.186974*Si+0.100057*Ca+0.0119869*Ti+0.139885*Fe,"O:0.42670, Si:0.18697, Fe:0.13989, Ca:0.10006, Al:0.07410, Mg:0.06030, Ti:0.01199",-
NIST K3232,0.205089*B+0.490397*O+0.304514*Ba,"O:0.49040, Ba:0.30451, B:0.20509",-
NIST K3233,0.205089*B+0.50741*O+0.2875*Sr,"O:0.50741, Sr:0.28750, B:0.20509",-
NIST K3234,0.205089*B+0.551915*O+0.242996*Ca,"O:0.55192, Ca:0.24300, B:0.20509",-
NIST K326,0.093222*B+0.513467*O+0.014837*Na+0.181526*Mg+0.139772*Si+0.057175*Ca,"O:0.51347, Mg:0.18153, Si:0.13977, B:0.09322, Ca:0.05717, Na:0.01484",-
NIST K3287,0.446671*O+0.120615*Mg+0.266455*Si+0.142939*Ca+0.023319*Fe,"O:0.44667, Si:0.26645, Ca:0.14294, Mg:0.12061, Fe:0.02332",-
NIST K330,0.029187*Be+0.395564*O+0.048849*Mg+0.064036*Al+0.132293*Si+0.024904*K+0.115066*Ca+0.059964*Zr+0.0638*Sn+0.066336*Ta,"O:0.39556, Si:0.13229, Ca:0.11507, Ta:0.06634, Al:0.06404, Sn:0.06380, Zr:0.05996, Mg:0.04885, Be:0.02919, K:0.02490",-
NIST K360,0.03279*Be+0.420274*O+0.05488*Mg+0.096319*Al+0.127618*Si+0.130074*Ca+0.067367*Zr+0.071677*Sn,"O:0.42027, Ca:0.13007, Si:0.12762, Al:0.09632, Sn:0.07168, Zr:0.06737, Mg:0.05488, Be:0.03279",-
NIST K360,0.03279*Be+0.420274*O+0.05488*Mg+0.096319*Al+0.127618*Si+0.130074*Ca+0.067367*Zr+0.071677*Sn,"O:0.42027, Ca:0.13007, Si:0.12762, Al:0.09632, Sn:0.07168, Zr:0.06737, Mg:0.05488, Be:0.03279",-
NIST K366,0.204271*O+0.13449*Si+0.661239*Pb,"Pb:0.66124, O:0.20427, Si:0.13449",-
NIST K3667,0.417494*O+0.060304*Mg+0.052925*Al+0.224369*Si+0.071469*Ca+0.07773*Fe+0.031432*Ni+0.064277*Zn,"O:0.41749, Si:0.22437, Fe:0.07773, Ca:0.07147, Zn:0.06428, Mg:0.06030, Al:0.05292, Ni:0.03143",-
NIST K3668,0.371405*O+0.060304*Mg+0.052925*Al+0.177625*Si+0.071469*Ca+0.07773*Fe+0.031432*Ni+0.064277*Zn+0.092832*Pb,"O:0.37140, Si:0.17763, Pb:0.09283, Fe:0.07773, Ca:0.07147, Zn:0.06428, Mg:0.06030, Al:0.05292, Ni:0.03143",-
NIST K3670,0.368855*O+0.060304*Mg+0.047633*Al+0.177625*Si+0.064322*Ca+0.01499*Ti+0.07773*Fe+0.031432*Ni+0.064277*Zn+0.092832*Pb,"O:0.36885, Si:0.17763, Pb:0.09283, Fe:0.07773, Ca:0.06432, Zn:0.06428, Mg:0.06030, Al:0.04763, Ni:0.03143, Ti:0.01499",-
NIST K3680,0.373877*O+0.054273*Mg+0.047633*Al+0.177625*Si+0.008728*P+0.064322*Ca+0.01499*Ti+0.069957*Fe+0.031432*Ni+0.064277*Zn+0.018619*Ag+0.074265*Pb,"O:0.37388, Si:0.17763, Pb:0.07426, Fe:0.06996, Ca:0.06432, Zn:0.06428, Mg:0.05427, Al:0.04763, Ni:0.03143, Ag:0.01862, Ti:0.01499, P:0.00873",-
NIST K369,0.168392*O+0.286501*Ge+0.545107*Pb,"Pb:0.54511, Ge:0.28650, O:0.16839",-
NIST K371,0.319322*O+0.230834*Si+0.030689*Zn+0.419155*Ba,"Ba:0.41915, O:0.31932, Si:0.23083, Zn:0.03069",-
NIST K3713,0.102488*B+0.329725*O+0.015878*Al+0.551909*Sm,"Sm:0.55191, O:0.32972, B:0.10249, Al:0.01588",-
NIST K373,0.423397*O+0.104304*Na+0.318484*Si+0.049407*Zn+0.103803*Ba+0.000534*U,"O:0.42340, Si:0.31848, Na:0.10430, Ba:0.10380, Zn:0.04941, U:0.00053",-
NIST K375,0.423249*O+0.10423*Na+0.318297*Si+0.049407*Zn+0.103714*Ba+0.001102*U,"O:0.42325, Si:0.31830, Na:0.10423, Ba:0.10371, Zn:0.04941, U:0.00110",-
NIST K376,0.421783*O+0.103785*Na+0.316568*Si+0.049166*Zn+0.103356*Ba+0.005342*U,"O:0.42178, Si:0.31657, Na:0.10379, Ba:0.10336, Zn:0.04917, U:0.00534",-
NIST K377,0.42004*O+0.103192*Na+0.314511*Si+0.048845*Zn+0.102729*Ba+0.010685*U,"O:0.42004, Si:0.31451, Na:0.10319, Ba:0.10273, Zn:0.04884, U:0.01069",-
NIST K378,0.416622*O+0.10193*Na+0.310491*Si+0.048363*Zn+0.101564*Ba+0.02103*U,"O:0.41662, Si:0.31049, Na:0.10193, Ba:0.10156, Zn:0.04836, U:0.02103",-
NIST K408,0.213174*O+0.14024*Si+0.043182*Eu+0.603405*Pb,"Pb:0.60340, O:0.21317, Si:0.14024, Eu:0.04318",-
NIST K409,0.433862*O+0.074185*Na+0.079384*Al+0.257106*Si+0.155463*Fe,"O:0.43386, Si:0.25711, Fe:0.15546, Al:0.07938, Na:0.07419",-
NIST K409,0.433862*O+0.074185*Na+0.079384*Al+0.257106*Si+0.155463*Fe,"O:0.43386, Si:0.25711, Fe:0.15546, Al:0.07938, Na:0.07419",-
NIST K409,0.433862*O+0.074185*Na+0.079384*Al+0.257106*Si+0.155463*Fe,"O:0.43386, Si:0.25711, Fe:0.15546, Al:0.07938, Na:0.07419",-
NIST K411,0.423643*O+0.088471*Mg+0.253834*Si+0.110563*Ca+0.112089*Fe,"O:0.42364, Si:0.25383, Fe:0.11209, Ca:0.11056, Mg:0.08847",-
NIST K411,0.423643*O+0.088471*Mg+0.253834*Si+0.110563*Ca+0.112089*Fe,"O:0.42364, Si:0.25383, Fe:0.11209, Ca:0.11056, Mg:0.08847",-
NIST K412,0.427559*O+0.116575*Mg+0.049059*Al+0.211996*Si+0.108991*Ca+0.07742*Fe,"O:0.42756, Si:0.21200, Mg:0.11657, Ca:0.10899, Fe:0.07742, Al:0.04906",-
NIST K447,0.023226*Li+0.233056*B+0.637873*O+0.105845*Al,"O:0.63787, B:0.23306, Al:0.10584, Li:0.02323",-
NIST K453,0.168392*O+0.286501*Ge+0.545107*Pb,"Pb:0.54511, Ge:0.28650, O:0.16839",-
NIST K456,0.204271*O+0.13449*Si+0.661239*Pb,"Pb:0.66124, O:0.20427, Si:0.13449",-
NIST K458,0.319322*O+0.230834*Si+0.030689*Zn+0.419155*Ba,"Ba:0.41915, O:0.31932, Si:0.23083, Zn:0.03069",-
NIST K489,0.00000906*Li+0.000621*B+0.314944*O+0.001535*Al+0.218587*Si+0.002758*Ti+0.003217*Fe+0.029885*Zn+0.005182*Zr+0.393002*Ba+0.007978*Ce+0.010319*Ta+0.011882*Pb,"Ba:0.39300, O:0.31494, Si:0.21859, Zn:0.02988, Pb:0.01188, Ta:0.01032, Ce:0.00798, Zr:0.00518, Fe:0.00322, Ti:0.00276, Al:0.00153, B:0.00062, Li:0.00001",-
NIST K490,0.021693*Li+0.217519*B+0.609822*O+0.09886*Al+0.001963*Si+0.003297*Ti+0.003847*Fe+0.006293*Zr+0.009687*Ce+0.01253*Ta+0.014389*Pb,"O:0.60982, B:0.21752, Al:0.09886, Li:0.02169, Pb:0.01439, Ta:0.01253, Ce:0.00969, Zr:0.00629, Fe:0.00385, Ti:0.00330, Si:0.00196",-
NIST K491,0.000005*Li+0.000342*B+0.166482*O+0.000847*Al+0.000888*Si+0.001559*Ti+0.001819*Fe+0.263598*Ge+0.002961*Zr+0.004559*Ce+0.005897*Ta+0.550955*Pb,"Pb:0.55095, Ge:0.26360, O:0.16648, Ta:0.00590, Ce:0.00456, Zr:0.00296, Fe:0.00182, Ti:0.00156, Si:0.00089, Al:0.00085, B:0.00034, Li:0.00001",-
NIST K493,0.000005*Li+0.000435*B+0.206329*O+0.001058*Al+0.130376*Si+0.001918*Ti+0.002238*Fe+0.003627*Zr+0.005536*Ce+0.007207*Ta+0.64128*Pb,"Pb:0.64128, O:0.20633, Si:0.13038, Ta:0.00721, Ce:0.00554, Zr:0.00363, Fe:0.00224, Ti:0.00192, Al:0.00106, B:0.00044, Li:0.00001",-
NIST K495,0.023226*Li+0.233056*B+0.637873*O+0.105845*Al,"O:0.63787, B:0.23306, Al:0.10584, Li:0.02323",-
NIST K496,0.537954*O+0.054458*Mg+0.060491*Al+0.347098*P,"O:0.53795, P:0.34710, Al:0.06049, Mg:0.05446",-
NIST K497,0.000005*Li+0.000466*B+0.524452*O+0.052106*Mg+0.057792*Al+0.001262*Si+0.331781*P+0.002098*Ti+0.002448*Fe+0.003998*Zr+0.006187*Ce+0.008026*Ta+0.00919*Pb,"O:0.52445, P:0.33178, Al:0.05779, Mg:0.05211, Pb:0.00919, Ta:0.00803, Ce:0.00619, Zr:0.00400, Fe:0.00245, Ti:0.00210, Si:0.00126, B:0.00047, Li:0.00001",-
NIST K5,0.185112*O+0.663584*Te+0.134344*Ba+0.01696*U,"Te:0.66358, O:0.18511, Ba:0.13434, U:0.01696",-
NIST K508,0.092601*B+0.411351*O+0.120606*Si+0.375442*Sr,"O:0.41135, Sr:0.37544, Si:0.12061, B:0.09260",-
NIST K521,0.032517*Li+0.211304*B+0.552664*O+0.203515*Ce,"O:0.55266, B:0.21130, Ce:0.20352, Li:0.03252",-
NIST K523,0.207093*O+0.000965*Mg+0.128974*Si+0.002487*P+0.001918*Ti+0.002053*Cr+0.002358*Ni+0.002915*Ge+0.003627*Zr+0.005463*Ba+0.006045*Eu+0.634132*Pb+0.000967*Th+0.001102*U,"Pb:0.63413, O:0.20709, Si:0.12897, Eu:0.00605, Ba:0.00546, Zr:0.00363, Ge:0.00292, P:0.00249, Ni:0.00236, Cr:0.00205, Ti:0.00192, U:0.00110, Th:0.00097, Mg:0.00097",-
NIST K546,0.0216*Li+0.21699*B+0.612516*O+0.001689*Mg+0.098648*Al+0.00432*P+0.003357*Ti+0.001437*Cr+0.004086*Ni+0.005067*Ge+0.006367*Zr+0.009583*Ba+0.010623*Eu+0.001582*Th+0.002035*U,"O:0.61252, B:0.21699, Al:0.09865, Li:0.02160, Eu:0.01062, Ba:0.00958, Zr:0.00637, Ge:0.00507, P:0.00432, Ni:0.00409, Ti:0.00336, U:0.00203, Mg:0.00169, Th:0.00158, Cr:0.00144",-
NIST K610,0.0005*Li+0.0005*Be+0.000351*B+0.449995*O+0.0005*F+0.100892*Na+0.0005*Mg+0.010283*Al+0.326969*Si+0.0005*P+0.0005*S+0.0005*Cl+0.000461*K+0.083312*Ca+0.0005*Sc+0.000437*Ti+0.0005*V+0.0005*Cr+0.000485*Mn+0.000458*Fe+0.00039*Co+0.000459*Ni+0.000444*Cu+0.000433*Zn+0.0005*Ga+0.0005*Ge+0.0005*As+0.0005*Se+0.000426*Rb+0.000516*Sr+0.0005*Y+0.0005*Zr+0.0005*Nb+0.0005*Mo+0.000254*Ag+0.0005*Cd+0.0005*In+0.0005*Sn+0.0005*Sb+0.0005*Te+0.0005*Cs+0.0005*Ba+0.0005*La+0.0005*Ce+0.0005*Pr+0.0005*Nd+0.0005*Sm+0.0005*Eu+0.0005*Gd+0.0005*Tb+0.0005*Dy+0.0005*Ho+0.0005*Er+0.0005*Tm+0.0005*Yb+0.0005*Lu+0.0005*Hf+0.0005*Ta+0.0005*W+0.0005*Re+0.000025*Au+0.000062*Tl+0.000426*Pb+0.0005*Bi+0.000457*Th+0.000462*U,"O:0.44999, Si:0.32697, Na:0.10089, Ca:0.08331, Al:0.01028, Sr:0.00052, Li:0.00050, Be:0.00050, F:0.00050, Mg:0.00050, P:0.00050, S:0.00050, Cl:0.00050, Sc:0.00050, V:0.00050, Cr:0.00050, Ga:0.00050, Ge:0.00050, As:0.00050, Se:0.00050, Y:0.00050, Zr:0.00050, Nb:0.00050, Mo:0.00050, Cd:0.00050, In:0.00050, Sn:0.00050, Sb:0.00050, Te:0.00050, Cs:0.00050, Ba:0.00050, La:0.00050, Ce:0.00050, Pr:0.00050, Nd:0.00050, Sm:0.00050, Eu:0.00050, Gd:0.00050, Tb:0.00050, Dy:0.00050, Ho:0.00050, Er:0.00050, Tm:0.00050, Yb:0.00050, Lu:0.00050, Hf:0.00050, Ta:0.00050, W:0.00050, Re:0.00050, Bi:0.00050, Mn:0.00049, U:0.00046, K:0.00046, Ni:0.00046, Fe:0.00046, Th:0.00046, Cu:0.00044, Ti:0.00044, Zn:0.00043, Rb:0.00043, Pb:0.00043, Co:0.00039, B:0.00035, Ag:0.00025, Tl:0.00006, Au:0.00003",-
NIST K709,0.031074*B+0.168457*O+0.015877*Al+0.023373*Si+0.761219*Pb,"Pb:0.76122, O:0.16846, B:0.03107, Si:0.02337, Al:0.01588",-
NIST K710,0.44708*O+0.064541*Na+0.329563*Si+0.000801*S+0.063921*K+0.082904*Ca+0.009189*Sb,"O:0.44708, Si:0.32956, Ca:0.08290, Na:0.06454, K:0.06392, Sb:0.00919, S:0.00080",-
NIST K711,0.293453*O+0.018546*Na+0.215034*Si+0.046654*K+0.420713*Pb,"Pb:0.42071, O:0.29345, Si:0.21503, K:0.04665, Na:0.01855",-
NIST K717,0.004645*Li+0.052826*B+0.525596*O+0.007419*Na+0.015877*Al+0.327226*Si+0.066412*K,"O:0.52560, Si:0.32723, K:0.06641, B:0.05283, Al:0.01588, Na:0.00742, Li:0.00464",-
NIST K873,0.254593*O+0.002646*Al+0.114529*Si+0.00316*Mn+0.170041*Ge+0.219429*Ba+0.00407*Ce+0.004095*Ta+0.227437*Pb,"O:0.25459, Pb:0.22744, Ba:0.21943, Ge:0.17004, Si:0.11453, Ta:0.00409, Ce:0.00407, Mn:0.00316, Al:0.00265",-
NIST K878,0.387166*O+0.079384*Al+0.186986*Si+0.107204*Ca+0.104915*Fe+0.134344*Ba,"O:0.38717, Si:0.18699, Ba:0.13434, Ca:0.10720, Fe:0.10491, Al:0.07938",-
NIST K884,0.45*O+0.020022*Mg+0.11516*Al+0.223308*Si+0.075543*Ca+0.115967*Fe,"O:0.45000, Si:0.22331, Fe:0.11597, Al:0.11516, Ca:0.07554, Mg:0.02002",-
NIST K919,0.318587*O+0.20101*Si+0.006842*Cr+0.018958*Mn+0.020983*Fe+0.021318*Co+0.023575*Ni+0.023965*Cu+0.340339*Ba+0.024422*Ce,"Ba:0.34034, O:0.31859, Si:0.20101, Ce:0.02442, Cu:0.02397, Ni:0.02357, Co:0.02132, Fe:0.02098, Mn:0.01896, Cr:0.00684",-
NIST K93,0.039029*B+0.538188*O+0.029526*Na+0.00003*Mg+0.012066*Al+0.377712*Si+0.0006*Cl+0.000116*K+0.000071*Ca+0.000084*Ti+0.000196*Fe+0.000311*Zr,"O:0.53819, Si:0.37771, B:0.03903, Na:0.02953, Al:0.01207, Cl:0.00060, Zr:0.00031, Fe:0.00020, K:0.00012, Ti:0.00008, Ca:0.00007, Mg:0.00003",-
NIST K961,0.469837*O+0.029674*Na+0.030154*Mg+0.058215*Al+0.299178*Si+0.002182*P+0.024904*K+0.035735*Ca+0.01199*Ti+0.00316*Mn+0.034972*Fe,"O:0.46984, Si:0.29918, Al:0.05822, Ca:0.03574, Fe:0.03497, Mg:0.03015, Na:0.02967, K:0.02490, Ti:0.01199, Mn:0.00316, P:0.00218",-
NIST K963,0.319245*O+0.001387*Mg+0.219943*Si+0.003578*P+0.002758*Ti+0.003011*Cr+0.003379*Ni+0.030046*Zn+0.004234*Ge+0.005256*Zr+0.395241*Ba+0.008809*Eu+0.001318*Th+0.001696*U,"Ba:0.39524, O:0.31925, Si:0.21994, Zn:0.03005, Eu:0.00881, Zr:0.00526, Ge:0.00423, P:0.00358, Ni:0.00338, Cr:0.00301, Ti:0.00276, U:0.00170, Mg:0.00139, Th:0.00132",-
NIST K968,0.166223*O+0.000784*Mg+0.002007*P+0.001559*Ti+0.001711*Cr+0.001886*Ni+0.262695*Ge+0.002961*Zr+0.004478*Ba+0.004923*Eu+0.549099*Pb+0.000842*Th+0.000933*U,"Pb:0.54910, Ge:0.26270, O:0.16622, Eu:0.00492, Ba:0.00448, Zr:0.00296, P:0.00201, Ni:0.00189, Cr:0.00171, Ti:0.00156, U:0.00093, Th:0.00084, Mg:0.00078",-
NIST K970,0.379129*O+0.079384*Al+0.186986*Si+0.016603*K+0.107204*Ca+0.011203*V+0.007439*Ga+0.015148*As+0.126838*Sr+0.017508*Cd+0.015753*Sn+0.018864*Cs+0.01794*Bi,"O:0.37913, Si:0.18699, Sr:0.12684, Ca:0.10720, Al:0.07938, Cs:0.01886, Bi:0.01794, Cd:0.01751, K:0.01660, Sn:0.01575, As:0.01515, V:0.01120, Ga:0.00744",-
NIST K975,0.010452*Li+0.396611*O+0.089228*Al+0.210172*Si+0.018678*K+0.067467*Ca+0.020574*Rb+0.100541*Sr+0.010427*Ag+0.018316*Ce+0.019548*Tb+0.019759*Yb+0.018427*Ta,"O:0.39661, Si:0.21017, Sr:0.10054, Al:0.08923, Ca:0.06747, Rb:0.02057, Yb:0.01976, Tb:0.01955, K:0.01868, Ta:0.01843, Ce:0.01832, Li:0.01045, Ag:0.01043",-
NIST K978,0.393897*O+0.013569*Mg+0.089228*Al+0.210172*Si+0.018678*K+0.067467*Ca+0.006714*Ti+0.020574*Rb+0.100541*Sr+0.021222*Cs+0.019185*La+0.019432*Eu+0.01952*Gd,"O:0.39390, Si:0.21017, Sr:0.10054, Al:0.08923, Ca:0.06747, Cs:0.02122, Rb:0.02057, Gd:0.01952, Eu:0.01943, La:0.01919, K:0.01868, Mg:0.01357, Ti:0.00671",-
NIST K979,0.010452*Li+0.405783*O+0.089228*Al+0.210172*Si+0.018678*K+0.067467*Ca+0.013489*Ti+0.100541*Sr+0.015729*Nb+0.008431*Sb+0.021222*Cs+0.019404*Sm+0.019605*Dy,"O:0.40578, Si:0.21017, Sr:0.10054, Al:0.08923, Ca:0.06747, Cs:0.02122, Dy:0.01961, Sm:0.01940, K:0.01868, Nb:0.01573, Ti:0.01349, Li:0.01045, Sb:0.00843",-
NIST K979,0.010452*Li+0.405783*O+0.089228*Al+0.210172*Si+0.018678*K+0.067467*Ca+0.013489*Ti+0.100541*Sr+0.015729*Nb+0.008431*Sb+0.021222*Cs+0.019404*Sm+0.019605*Dy,"O:0.40578, Si:0.21017, Sr:0.10054, Al:0.08923, Ca:0.06747, Cs:0.02122, Dy:0.01961, Sm:0.01940, K:0.01868, Nb:0.01573, Ti:0.01349, Li:0.01045, Sb:0.00843",-
SPI Albite,0.4903*O+0.0866*Na+0.1046*Al+0.3214*Si+0.0014*K+0.0016*Ca,"O:0.49030, Si:0.32140, Al:0.10460, Na:0.08660, Ca:0.00160, K:0.00140",-
SPI Almandine,0.4211*O+0.0612*Mg+0.1202*Al+0.183*Si+0.0286*Ca+0.0004*Ti+0.0043*Mn+0.1856*Fe,"O:0.42110, Fe:0.18560, Si:0.18300, Al:0.12020, Mg:0.06120, Ca:0.02860, Mn:0.00430, Ti:0.00040",-
SPI Andradite,0.3851*O+0.0012*Mg+0.037*Al+0.16*Si+0.2359*Ca+0.0014*Ti+0.0039*Mn+0.1754*Fe,"O:0.38510, Ca:0.23590, Fe:0.17540, Si:0.16000, Al:0.03700, Mn:0.00390, Ti:0.00140, Mg:0.00120",-
SPI Anhydrite,0.4681*O+0.2336*S+0.294*Ca+0.0052*Sr,"O:0.46810, Ca:0.29400, S:0.23360, Sr:0.00520",-
SPI Arsenopyrite,0.1928*S+0.3416*Fe+0.0002*Co+0.461*As,"As:0.46100, Fe:0.34160, S:0.19280, Co:0.00020",-
SPI Barite,0.2789*O+0.141*S+0.5817*Ba,"Ba:0.58170, O:0.27890, S:0.14100",-
SPI Benitoite,0.3548*O+0.0007*Na+0.2119*Si+0.1145*Ti+0.3129*Ba,"O:0.35480, Ba:0.31290, Si:0.21190, Ti:0.11450, Na:0.00070",-
SPI Biotite,0.0043*H+0.4357*O+0.0008*Na+0.1186*Mg+0.0845*Al+0.1791*Si+0.0835*K+0.0094*Ti+0.0007*Mn+0.078*Fe,"O:0.43570, Si:0.17910, Mg:0.11860, Al:0.08450, K:0.08350, Fe:0.07800, Ti:0.00940, H:0.00430, Na:0.00080, Mn:0.00070",-
SPI Bustamite,0.3864*O+0.0014*Mg+0.2264*Si+0.1361*Ca+0.187*Mn+0.0632*Fe+0.0022*Zn,"O:0.38640, Si:0.22640, Mn:0.18700, Ca:0.13610, Fe:0.06320, Zn:0.00220, Mg:0.00140",-
SPI Calcite,0.1197*C+0.4797*O+0.4024*Ca+0.0005*Sr,"O:0.47970, Ca:0.40240, C:0.11970, Sr:0.00050",-
SPI Calcopyrite,0.3514*S+0.3048*Fe+0.3419*Cu,"S:0.35140, Cu:0.34190, Fe:0.30480",-
SPI Celestite,0.3473*O+0.0004*Si+0.1738*S+0.0005*Ca+0.4736*Sr,"Sr:0.47360, O:0.34730, S:0.17380, Ca:0.00050, Si:0.00040",-
SPI Chlorite,0.0154*H+0.5118*O+0.2023*Mg+0.0787*Al+0.1503*Si+0.0154*Cr+0.0265*Fe+0.0017*Ni,"O:0.51180, Mg:0.20230, Si:0.15030, Al:0.07870, Fe:0.02650, H:0.01540, Cr:0.01540, Ni:0.00170",-
SPI Chrocoite,0.1987*O+0.0004*Si+0.1611*Cr+0.6419*Pb,"Pb:0.64190, O:0.19870, Cr:0.16110, Si:0.00040",-
SPI Chromite,0.3158*O+0.6842*Cr,"Cr:0.68420, O:0.31580",-
SPI Cinnabar,0.135*S+0.8529*Hg,"Hg:0.85290, S:0.13500",-
SPI Crocoite,0.1987*O+0.0004*Si+0.1611*Cr+0.6419*Pb,"Pb:0.64190, O:0.19870, Cr:0.16110, Si:0.00040",-
SPI Cryolite,0.543*F+0.3285*Na+0.1285*Al,"F:0.54300, Na:0.32850, Al:0.12850",-
SPI Diopside,0.4418*O+0.003*Na+0.1071*Mg+0.0033*Al+0.2587*Si+0.1772*Ca+0.0065*Fe,"O:0.44180, Si:0.25870, Ca:0.17720, Mg:0.10710, Fe:0.00650, Al:0.00330, Na:0.00300",-
SPI Dolomite,0.1301*C+0.5197*O+0.1306*Mg+0.2172*Ca+0.0011*Fe,"O:0.51970, Ca:0.21720, Mg:0.13060, C:0.13010, Fe:0.00110",-
SPI Fluorite,0.486667*F+0.513333*Ca,"Ca:0.51333, F:0.48667",-
SPI Fluoroapatite,0.00006*H+0.3797*O+0.0299*F+0.0002*Si+0.1783*P+0.0016*S+0.3908*Ca+0.0024*Sr+0.0005*Y+0.0012*La+0.0025*Ce+0.0004*Pr+0.0012*Nd,"Ca:0.39080, O:0.37970, P:0.17830, F:0.02990, Ce:0.00250, Sr:0.00240, S:0.00160, La:0.00120, Nd:0.00120, Y:0.00050, Pr:0.00040, Si:0.00020, H:0.00006",-
SPI Galena,0.1351*S+0.8634*Pb,"Pb:0.86340, S:0.13510",-
SPI Hematite,0.6992*Fe,Fe:0.69920,-
