Name,Formula,Mass Fractions,Comment
NIST K133,0.421689*O+0.103859*Na+0.316661*Si+0.049166*Zn+0.103356*Ba+0.005269*Yb,"O:0.42169, Si:0.31666, Na:0.10386, Ba:0.10336, Zn:0.04917, Yb:0.00527",-
NIST K137,0.38436*O+0.093028*Na+0.274589*Si+0.044025*Zn+0.01804*Nb+0.092608*Ba+0.09335*Yb,"O:0.38436, Si:0.27459, Yb:0.09335, Na:0.09303, Ba:0.09261, Zn:0.04403, Nb:0.01804",-
NIST K140,0.382939*O+0.093028*Na+0.274589*Si+0.044025*Zn+0.092608*Ba+0.019461*Nd+0.09335*Yb,"O:0.38294, Si:0.27459, Yb:0.09335, Na:0.09303, Ba:0.09261, Zn:0.04403, Nd:0.01946",-
NIST K1404,0.280241*O+0.158938*Si+0.128539*Zn+0.07403*Zr+0.358252*Ba,"Ba:0.35825, O:0.28024, Si:0.15894, Zn:0.12854, Zr:0.07403",-
NIST K1406,0.269473*O+0.158938*Si+0.128539*Zn+0.358252*Ba+0.084798*Hf,"Ba:0.35825, O:0.26947, Si:0.15894, Zn:0.12854, Hf:0.08480",-
NIST K1418,0.034839*Li+0.023306*B+0.360159*O+0.026461*Al+0.555235*Ge,"Ge:0.55524, O:0.36016, Li:0.03484, Al:0.02646, B:0.02331",-
NIST K1420,0.508218*O+0.112762*Na+0.051123*Al+0.327897*P,"O:0.50822, P:0.32790, Na:0.11276, Al:0.05112",-
NIST K1421,0.092905*Li+0.015537*B+0.540959*O+0.350599*Si,"O:0.54096, Si:0.35060, Li:0.09291, B:0.01554",-
NIST K1451,0.000093*Li+0.459434*O+0.014837*Na+0.024123*Mg+0.132307*Al+0.249533*Si+0.033206*K+0.021441*Ca+0.002997*Ti+0.00112*V+0.001368*Cr+0.003872*Mn+0.027977*Fe+0.001421*Co+0.001572*Ni+0.001562*Rb+0.001691*Sr+0.001481*Zr+0.001398*Nb+0.018566*Pb,"O:0.45943, Si:0.24953, Al:0.13231, K:0.03321, Fe:0.02798, Mg:0.02412, Ca:0.02144, Pb:0.01857, Na:0.01484, Mn:0.00387, Ti:0.00300, Sr:0.00169, Ni:0.00157, Rb:0.00156, Zr:0.00148, Co:0.00142, Nb:0.00140, Cr:0.00137, V:0.00112, Li:0.00009",-
NIST K1502,0.431326*O+0.065283*Na+0.060308*Mg+0.252431*Si+0.004151*K+0.003573*Ca+0.004196*Ti+0.003872*Mn+0.174859*Fe,"O:0.43133, Si:0.25243, Fe:0.17486, Na:0.06528, Mg:0.06031, Ti:0.00420, K:0.00415, Mn:0.00387, Ca:0.00357",-
