# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:26:2
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#   The Duane-Hunt (14.66 keV) for KCl standard for 'N132962' detector differs by more than 1 % from the beam energy (15.00 keV)!!
#   There are no suitable references for [K L₃-M₁ and 8 others; 0.8241>.
#   There are no suitable references for [Sr L₁-L₂ and 1 others; 0.0007>.
#   There are no suitable references for [Cs M₁-M₂ and 5 others; 0.0277>.
#   There are no suitable references for [Cs M₅-N₃ and 17 others; 0.9731>.
#   There are no suitable references for [Sm M₁-M₃ and 3 others; 0.0118>.
#   `Ref[Dy for Dy]` is not suitable as reference for [Dy M₁-M₂; 0.0000>.
#   There are no suitable references for [Dy M₁-M₂; 0.0000>.
# Spectrum
#   GMIIIA K979[0][all]['GMIIIA K979[0][4].msa']
# Fit warnings
#   The k-ratio '[Nb L₁-L₃ + 1 other] = -0.0394 ± 0.0050' is more than 3σ negative.
#   The k-ratio '[Ti L₃-M₅ + 13 others] = -0.03567 ± 0.00063' is more than 3σ negative.
#   The k-ratio '[Sm M₁-O₃ + 1 other] = -2.34 ± 0.19' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K979[0][all],O,8,15.999,0.42142,0.02961,0.40925,0.01702,0.63029,0.01642
GMIIIA K979[0][all],Al,13,26.9815384,0.08901,0.00116,0.08644,0.00270,0.07894,0.00362
GMIIIA K979[0][all],Si,14,28.085,0.21755,0.00192,0.21127,0.00626,0.18536,0.00832
GMIIIA K979[0][all],K,19,39.0983,0.01954,0.00005,0.01898,0.00055,0.01196,0.00053
GMIIIA K979[0][all],Ca,20,40.078,0.06698,0.00009,0.06505,0.00188,0.03999,0.00177
GMIIIA K979[0][all],Ti,22,47.867,0.01387,0.00005,0.01347,0.00039,0.00694,0.00031
GMIIIA K979[0][all],Sr,38,87.62,0.10820,0.00128,0.10507,0.00323,0.02955,0.00135
GMIIIA K979[0][all],Nb,41,92.90637,0.01652,0.00047,0.01605,0.00064,0.00426,0.00022
GMIIIA K979[0][all],Sb,51,121.76,0.00850,0.00017,0.00825,0.00029,0.00167,0.00008
GMIIIA K979[0][all],Cs,55,132.90545196,0.02206,0.00013,0.02143,0.00063,0.00397,0.00018
GMIIIA K979[0][all],Sm,62,150.36,0.02499,0.00017,0.02427,0.00072,0.00398,0.00018
GMIIIA K979[0][all],Dy,66,162.5,0.02108,0.00019,0.02048,0.00062,0.00310,0.00014
# Notes
#   Analytical total: 1.030 ± 0.030
#   Duane-Hunt: 15.17 keV
#   Residual written to GMIIIA K979[0][4][residual].msa.
#   Plot output to 'GMIIIA K979[0][4][quantify].pdf'
# Spectrum
#   GMIIIA K979[1][all]['GMIIIA K979[1][4].msa']
# Fit warnings
#   The k-ratio '[Nb L₁-L₃ + 1 other] = -0.0542 ± 0.0050' is more than 3σ negative.
#   The k-ratio '[Ti L₃-M₅ + 13 others] = -0.03655 ± 0.00063' is more than 3σ negative.
#   The k-ratio '[Sm M₁-O₃ + 1 other] = -2.57 ± 0.19' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K979[1][all],O,8,15.999,0.42212,0.02970,0.40974,0.01705,0.63051,0.01644
GMIIIA K979[1][all],Al,13,26.9815384,0.08921,0.00113,0.08660,0.00270,0.07902,0.00363
GMIIIA K979[1][all],Si,14,28.085,0.21741,0.00187,0.21103,0.00626,0.18499,0.00831
GMIIIA K979[1][all],K,19,39.0983,0.01942,0.00005,0.01885,0.00055,0.01187,0.00053
GMIIIA K979[1][all],Ca,20,40.078,0.06732,0.00009,0.06534,0.00189,0.04014,0.00178
GMIIIA K979[1][all],Ti,22,47.867,0.01433,0.00005,0.01391,0.00041,0.00715,0.00032
GMIIIA K979[1][all],Sr,38,87.62,0.10807,0.00127,0.10490,0.00323,0.02947,0.00135
GMIIIA K979[1][all],Nb,41,92.90637,0.01649,0.00047,0.01601,0.00064,0.00424,0.00022
GMIIIA K979[1][all],Sb,51,121.76,0.00899,0.00017,0.00873,0.00030,0.00177,0.00008
GMIIIA K979[1][all],Cs,55,132.90545196,0.02203,0.00013,0.02138,0.00063,0.00396,0.00018
GMIIIA K979[1][all],Sm,62,150.36,0.02449,0.00017,0.02377,0.00071,0.00389,0.00017
GMIIIA K979[1][all],Dy,66,162.5,0.02033,0.00019,0.01974,0.00060,0.00299,0.00014
# Notes
#   Analytical total: 1.030 ± 0.030
#   Duane-Hunt: 15.19 keV
#   Residual written to GMIIIA K979[1][4][residual].msa.
#   Plot output to 'GMIIIA K979[1][4][quantify].pdf'
# Spectrum
#   GMIIIA K979[2][all]['GMIIIA K979[2][4].msa']
# Fit warnings
#   The k-ratio '[Nb L₁-L₃ + 1 other] = -0.0192 ± 0.0050' is more than 3σ negative.
#   The k-ratio '[Ti L₃-M₅ + 13 others] = -0.03248 ± 0.00063' is more than 3σ negative.
#   The k-ratio '[Sm M₁-O₃ + 1 other] = -2.92 ± 0.19' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K979[2][all],O,8,15.999,0.42435,0.02986,0.41001,0.01706,0.63121,0.01643
GMIIIA K979[2][all],Al,13,26.9815384,0.08931,0.00118,0.08630,0.00271,0.07877,0.00363
GMIIIA K979[2][all],Si,14,28.085,0.21810,0.00194,0.21073,0.00627,0.18481,0.00832
GMIIIA K979[2][all],K,19,39.0983,0.01958,0.00005,0.01892,0.00055,0.01192,0.00053
GMIIIA K979[2][all],Ca,20,40.078,0.06687,0.00009,0.06461,0.00187,0.03971,0.00177
GMIIIA K979[2][all],Ti,22,47.867,0.01435,0.00005,0.01386,0.00040,0.00713,0.00032
GMIIIA K979[2][all],Sr,38,87.62,0.10856,0.00129,0.10489,0.00323,0.02949,0.00135
GMIIIA K979[2][all],Nb,41,92.90637,0.01613,0.00046,0.01559,0.00063,0.00413,0.00022
GMIIIA K979[2][all],Sb,51,121.76,0.00847,0.00017,0.00819,0.00029,0.00166,0.00008
GMIIIA K979[2][all],Cs,55,132.90545196,0.02299,0.00013,0.02222,0.00066,0.00412,0.00018
GMIIIA K979[2][all],Sm,62,150.36,0.02368,0.00017,0.02288,0.00068,0.00375,0.00017
GMIIIA K979[2][all],Dy,66,162.5,0.02256,0.00019,0.02180,0.00066,0.00330,0.00015
# Notes
#   Analytical total: 1.035 ± 0.030
#   Duane-Hunt: 15.14 keV
#   Residual written to GMIIIA K979[2][4][residual].msa.
#   Plot output to 'GMIIIA K979[2][4][quantify].pdf'
# Spectrum
#   GMIIIA K979[3][all]['GMIIIA K979[3][4].msa']
# Fit warnings
#   The k-ratio '[Nb L₁-L₃ + 1 other] = -0.0430 ± 0.0050' is more than 3σ negative.
#   The k-ratio '[Ti L₃-M₅ + 13 others] = -0.03632 ± 0.00063' is more than 3σ negative.
#   The k-ratio '[Sm M₁-O₃ + 1 other] = -2.65 ± 0.19' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K979[3][all],O,8,15.999,0.42289,0.02974,0.41058,0.01705,0.63099,0.01642
GMIIIA K979[3][all],Al,13,26.9815384,0.08893,0.00112,0.08634,0.00269,0.07868,0.00361
GMIIIA K979[3][all],Si,14,28.085,0.21806,0.00185,0.21171,0.00629,0.18534,0.00833
GMIIIA K979[3][all],K,19,39.0983,0.01945,0.00005,0.01888,0.00055,0.01188,0.00053
GMIIIA K979[3][all],Ca,20,40.078,0.06714,0.00009,0.06519,0.00189,0.03999,0.00178
GMIIIA K979[3][all],Ti,22,47.867,0.01421,0.00005,0.01380,0.00040,0.00709,0.00032
GMIIIA K979[3][all],Sr,38,87.62,0.10819,0.00126,0.10504,0.00323,0.02948,0.00135
GMIIIA K979[3][all],Nb,41,92.90637,0.01575,0.00045,0.01530,0.00062,0.00405,0.00021
GMIIIA K979[3][all],Sb,51,121.76,0.00853,0.00017,0.00828,0.00029,0.00167,0.00008
