# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:25:52
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#   The Duane-Hunt (14.66 keV) for KCl standard for 'N132962' detector differs by more than 1 % from the beam energy (15.00 keV)!!
#   The Duane-Hunt (14.83 keV) for CeO2 standard for 'N132962' detector differs by more than 1 % from the beam energy (15.00 keV)!!
#   There are no suitable references for [P L₁-M₂ and 1 others; 0.0632>.
#   There are no suitable references for [K L₃-M₁ and 8 others; 0.8241>.
#   There are no suitable references for [Ga L₁-L₂ and 1 others; 0.0013>.
#   There are no suitable references for [Cs M₁-M₂ and 5 others; 0.0277>.
#   There are no suitable references for [Cs M₅-N₃ and 17 others; 0.9731>.
# Spectrum
#   GMIIIA K1012[0][all]['GMIIIA K1012[0][4].msa']
# Fit warnings
#   Removing Se from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[In L₁-L₃] = -0.081 ± 0.023' is more than 3σ negative.
#   The k-ratio '[Ce M₁-O₃ + 1 other] = -2.85 ± 0.24' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K1012[0][all],O,8,15.999,0.41129,0.02744,0.39813,0.01610,0.60455,0.01618
GMIIIA K1012[0][all],Na,11,22.98976928,0.01684,0.00023,0.01630,0.00049,0.01722,0.00074
GMIIIA K1012[0][all],Mg,12,24.305,0.08583,0.00396,0.08308,0.00416,0.08304,0.00486
GMIIIA K1012[0][all],Al,13,26.9815384,0.07846,0.00271,0.07595,0.00317,0.06839,0.00354
GMIIIA K1012[0][all],Si,14,28.085,0.20111,0.00041,0.19468,0.00526,0.16840,0.00684
GMIIIA K1012[0][all],P,15,30.973761998,0.00685,0.00008,0.00663,0.00019,0.00520,0.00022
GMIIIA K1012[0][all],K,19,39.0983,0.01895,0.00006,0.01834,0.00050,0.01140,0.00046
GMIIIA K1012[0][all],Ca,20,40.078,0.00432,0.00004,0.00418,0.00012,0.00253,0.00010
GMIIIA K1012[0][all],Ga,31,69.723,0.01635,0.00017,0.01583,0.00046,0.00551,0.00023
GMIIIA K1012[0][all],Se,34,78.971,0.00000,0.00037,0.00000,0.00035,0.00000,0.00011
GMIIIA K1012[0][all],In,49,114.818,0.01830,0.00015,0.01772,0.00050,0.00375,0.00016
GMIIIA K1012[0][all],Cs,55,132.90545196,0.02273,0.00017,0.02200,0.00061,0.00402,0.00017
GMIIIA K1012[0][all],Ba,56,137.327,0.13693,0.00052,0.13255,0.00360,0.02345,0.00096
GMIIIA K1012[0][all],Ce,58,140.116,0.01509,0.00017,0.01461,0.00043,0.00253,0.00011
# Notes
#   Analytical total: 1.033 ± 0.028
#   Duane-Hunt: 15.04 keV
#   Residual written to GMIIIA K1012[0][4][residual].msa.
#   Plot output to 'GMIIIA K1012[0][4][quantify].pdf'
# Spectrum
#   GMIIIA K1012[1][all]['GMIIIA K1012[1][4].msa']
# Fit warnings
#   Removing Se from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Ce M₁-O₃ + 1 other] = -2.39 ± 0.24' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K1012[1][all],O,8,15.999,0.41307,0.02751,0.39929,0.01608,0.60552,0.01614
GMIIIA K1012[1][all],Na,11,22.98976928,0.01622,0.00022,0.01568,0.00047,0.01655,0.00071
GMIIIA K1012[1][all],Mg,12,24.305,0.08542,0.00391,0.08257,0.00411,0.08242,0.00480
GMIIIA K1012[1][all],Al,13,26.9815384,0.07855,0.00268,0.07593,0.00315,0.06828,0.00352
GMIIIA K1012[1][all],Si,14,28.085,0.20215,0.00042,0.19541,0.00529,0.16881,0.00686
GMIIIA K1012[1][all],P,15,30.973761998,0.00695,0.00008,0.00672,0.00020,0.00527,0.00022
GMIIIA K1012[1][all],K,19,39.0983,0.01896,0.00006,0.01833,0.00050,0.01137,0.00046
GMIIIA K1012[1][all],Ca,20,40.078,0.00440,0.00004,0.00425,0.00012,0.00258,0.00011
GMIIIA K1012[1][all],Ga,31,69.723,0.01736,0.00017,0.01678,0.00048,0.00584,0.00024
GMIIIA K1012[1][all],Se,34,78.971,0.00000,0.00036,0.00000,0.00035,0.00000,0.00011
GMIIIA K1012[1][all],In,49,114.818,0.01784,0.00015,0.01725,0.00049,0.00365,0.00015
GMIIIA K1012[1][all],Cs,55,132.90545196,0.02316,0.00017,0.02239,0.00063,0.00409,0.00017
GMIIIA K1012[1][all],Ba,56,137.327,0.13509,0.00052,0.13059,0.00355,0.02307,0.00094
GMIIIA K1012[1][all],Ce,58,140.116,0.01531,0.00017,0.01480,0.00043,0.00256,0.00011
# Notes
#   Analytical total: 1.034 ± 0.028
#   Duane-Hunt: 15.00 keV
#   Residual written to GMIIIA K1012[1][4][residual].msa.
#   Plot output to 'GMIIIA K1012[1][4][quantify].pdf'
# Spectrum
#   GMIIIA K1012[2][all]['GMIIIA K1012[2][4].msa']
# Fit warnings
#   Removing Se from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Ce M₁-O₃ + 1 other] = -2.58 ± 0.24' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K1012[2][all],O,8,15.999,0.41230,0.02758,0.39928,0.01615,0.60581,0.01620
GMIIIA K1012[2][all],Na,11,22.98976928,0.01660,0.00023,0.01608,0.00049,0.01698,0.00073
GMIIIA K1012[2][all],Mg,12,24.305,0.08514,0.00391,0.08245,0.00412,0.08235,0.00482
GMIIIA K1012[2][all],Al,13,26.9815384,0.07799,0.00268,0.07553,0.00315,0.06795,0.00352
GMIIIA K1012[2][all],Si,14,28.085,0.20117,0.00041,0.19481,0.00529,0.16838,0.00687
GMIIIA K1012[2][all],P,15,30.973761998,0.00709,0.00008,0.00687,0.00020,0.00538,0.00023
GMIIIA K1012[2][all],K,19,39.0983,0.01894,0.00006,0.01834,0.00050,0.01139,0.00047
GMIIIA K1012[2][all],Ca,20,40.078,0.00430,0.00004,0.00416,0.00012,0.00252,0.00010
GMIIIA K1012[2][all],Ga,31,69.723,0.01653,0.00017,0.01601,0.00046,0.00557,0.00023
GMIIIA K1012[2][all],Se,34,78.971,0.00000,0.00037,0.00000,0.00036,0.00000,0.00011
GMIIIA K1012[2][all],In,49,114.818,0.01870,0.00015,0.01811,0.00051,0.00383,0.00016
GMIIIA K1012[2][all],Cs,55,132.90545196,0.02206,0.00017,0.02136,0.00060,0.00390,0.00016
GMIIIA K1012[2][all],Ba,56,137.327,0.13620,0.00053,0.13190,0.00360,0.02332,0.00095
GMIIIA K1012[2][all],Ce,58,140.116,0.01560,0.00017,0.01510,0.00044,0.00262,0.00011
# Notes
#   Analytical total: 1.033 ± 0.028
#   Duane-Hunt: 15.19 keV
#   Residual written to GMIIIA K1012[2][4][residual].msa.
#   Plot output to 'GMIIIA K1012[2][4][quantify].pdf'
# Spectrum
#   GMIIIA K1012[3][all]['GMIIIA K1012[3][4].msa']
# Fit warnings
#   Removing Se from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Ce M₁-O₃ + 1 other] = -2.68 ± 0.24' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K1012[3][all],O,8,15.999,0.41183,0.02747,0.39757,0.01609,0.60505,0.01618
GMIIIA K1012[3][all],Na,11,22.98976928,0.01646,0.00023,0.01589,0.00048,0.01683,0.00072
GMIIIA K1012[3][all],Mg,12,24.305,0.08513,0.00397,0.08219,0.00415,0.08233,0.00485
GMIIIA K1012[3][all],Al,13,26.9815384,0.07816,0.00273,0.07546,0.00317,0.06809,0.00354
GMIIIA K1012[3][all],Si,14,28.085,0.20119,0.00042,0.19422,0.00524,0.16838,0.00684
GMIIIA K1012[3][all],P,15,30.973761998,0.00704,0.00008,0.00680,0.00020,0.00534,0.00022
GMIIIA K1012[3][all],K,19,39.0983,0.01905,0.00006,0.01839,0.00050,0.01145,0.00047
GMIIIA K1012[3][all],Ca,20,40.078,0.00433,0.00004,0.00418,0.00012,0.00254,0.00011
GMIIIA K1012[3][all],Ga,31,69.723,0.01742,0.00017,0.01682,0.00048,0.00587,0.00025
GMIIIA K1012[3][all],Se,34,78.971,0.00000,0.00037,0.00000,0.00036,0.00000,0.00011
GMIIIA K1012[3][all],In,49,114.818,0.01812,0.00015,0.01749,0.00049,0.00371,0.00015
GMIIIA K1012[3][all],Cs,55,132.90545196,0.02315,0.00017,0.02234,0.00062,0.00409,0.00017
GMIIIA K1012[3][all],Ba,56,137.327,0.13842,0.00053,0.13363,0.00363,0.02369,0.00097
GMIIIA K1012[3][all],Ce,58,140.116,0.01557,0.00018,0.01503,0.00044,0.00261,0.00011
# Notes
#   Analytical total: 1.036 ± 0.028
#   Duane-Hunt: 15.03 keV
#   Residual written to GMIIIA K1012[3][4][residual].msa.
#   Plot output to 'GMIIIA K1012[3][4][quantify].pdf'
# Spectrum
#   GMIIIA K1012[4][all]['GMIIIA K1012[4][4].msa']
# Fit warnings
#   Removing Se from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Ce M₁-O₃ + 1 other] = -3.35 ± 0.24' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K1012[4][all],O,8,15.999,0.41299,0.02749,0.39871,0.01607,0.60524,0.01614
GMIIIA K1012[4][all],Na,11,22.98976928,0.01693,0.00023,0.01635,0.00049,0.01727,0.00074
GMIIIA K1012[4][all],Mg,12,24.305,0.08540,0.00393,0.08245,0.00412,0.08239,0.00481
GMIIIA K1012[4][all],Al,13,26.9815384,0.07874,0.00271,0.07602,0.00316,0.06843,0.00353
GMIIIA K1012[4][all],Si,14,28.085,0.20109,0.00041,0.19413,0.00524,0.16788,0.00681
GMIIIA K1012[4][all],P,15,30.973761998,0.00719,0.00008,0.00694,0.00020,0.00545,0.00023
GMIIIA K1012[4][all],K,19,39.0983,0.01917,0.00006,0.01851,0.00050,0.01150,0.00047
GMIIIA K1012[4][all],Ca,20,40.078,0.00417,0.00004,0.00403,0.00011,0.00244,0.00010
GMIIIA K1012[4][all],Ga,31,69.723,0.01725,0.00017,0.01665,0.00048,0.00580,0.00024
GMIIIA K1012[4][all],Se,34,78.971,0.00000,0.00037,0.00000,0.00036,0.00000,0.00011
GMIIIA K1012[4][all],In,49,114.818,0.01790,0.00015,0.01728,0.00049,0.00365,0.00015
GMIIIA K1012[4][all],Cs,55,132.90545196,0.02322,0.00017,0.02242,0.00062,0.00410,0.00017
